Product,Location,Category,Season,Deal Y/N,Sharks,Asking Amount,% Equity (Asking),Invested Amount,% Equity (Deal),Deal Type
round21,"Oklahoma, USA",Entertainment & Arts,13,Deal,Kevin O'Leary,"$250,000",3.0%,"$250,000",10.0%,"E
R"
The Aqua Boxing Glove,"Houston, Texas",Sports & Outdoors,13,No Deal,—,"$100,000",10.0%,—,—,—
KIN Apparel - Satin Lined Hoodies,"Bronx, New York",Clothing & Accessories,13,Deal,"Emma Grede, Lori Greiner","$200,000",10.0%,"$200,000",30.0%,E
HiccAway Hiccup Straw,"Sacramento, California",Beauty & Health,13,Deal,Mark Cuban,"$250,000",10.0%,"$250,000",20.0%,E
The Dirty Cookie Shot Glass,"Orange County, California",Food & Drink,13,Deal,Robert Herjavec,"$500,000",5.0%,"$500,000",25.0%,E
Pink Picasso Paint by Numbers Kits,"Pensacola, FL",Entertainment & Arts,13,Deal,"Lori Greiner, Daniel Lubetzky","$400,000",5.0%,"$400,000",15.0%,E
Range Beauty,"Atlanta, Georgia",Beauty & Health,13,Deal,"Lori Greiner, Emma Grede","$150,000",6.0%,"$150,000",20.0%,E
Pulp Pantry Veggie Chips,Not specified,Food & Drink,13,Deal,Mark Cuban,"$500,000",10.0%,"$500,000",17.0%,E
Project Pollo Vegan Chicken,"Austin, Texas",Food & Drink,13,No Deal,—,"$2,500,000",5.0%,—,—,—
Uprising Bread Alternative,"Cincinnati, Ohio",Food & Drink,13,No Deal,—,"$500,000",3.0%,—,—,—
Tristen Ikaika Fork & Spoon Jewelry,"Orem, Utah",Clothing & Accessories,13,Deal,Kevin O'Leary,"$250,000",5.0%,"$250,000",15.0%,E
LUCY Drawing Tool,Not specified,Entertainment & Arts,13,No Deal,—,"$300,000",10.0%,—,—,—
Sparketh Online Art Courses,"Atlanta, Georgia",Entertainment & Arts,13,Deal,"Barbara Corcoran, Daniel Lubetzky","$100,000",8.0%,"$100,000",20.0%,E
Zach & Zoe Honey,"Lebanon, New Jersey",Food & Drink,13,Deal,Barbara Corcoran,"$150,000",10.0%,"$200,000",15.0%,E
Diaper Dust Deodorizing Powder,"Winterville, North Carolina",Kids & Toys,13,Deal,Mark Cuban,"$75,000",40.0%,"$75,000",40.0%,E
Kawaii Lighting,"Chicago, United States",Home & Tools,13,Deal,Barbara Corcoran,"$88,000",22.0%,"$100,000",22.0%,"E
R
L"
MAXPRO Fitness,"Detroit, the Motor City",Beauty & Health,13,Deal,Mark Cuban,"$500,000",2.0%,"$500,000",3.0%,E
Lion Latch Jewelry Tote,"Burnet, Texas",Clothing & Accessories,13,No Deal,—,"$150,000",15.0%,—,—,—
Wedfuly Livestream Weddings,"Denver, Colorado",Service,13,Deal,Robert Herjavec,"$200,000",5.0%,"$200,000",10.0%,E
TA3 Shaping Swimwear,"Los Angeles, California",Clothing & Accessories,13,No Deal,—,"$500,000",10.0%,—,—,E
BusyBox Do Not Disturb Sign,New England,Home & Tools,13,No Deal,—,"$200,000",15.0%,—,—,—
Granola Butter by Oat Haus,"Warminster, Philadelphia",Food & Drink,13,No Deal,—,"$375,000",5.0%,—,—,—
Love & Pebble Skin Care,"Atlanta, Georgia",Beauty & Health,13,No Deal,—,"$150,000",10.0%,—,—,—
Junobie Reusable Breast Milk Bags,"West Lafayette, Indiana",Kids & Toys,13,Deal,Emma Grede,"$100,000",10.0%,"$100,000",22.0%,E
Pricklee Cactus Water,"Boston, Northeast",Food & Drink,13,Deal,Barbara Corcoran,"$200,000",5.0%,"$200,000",5.0%,"E
L"
