Product,Location,Category,Season,Deal Y/N,Sharks,Asking Amount,% Equity (Asking),Invested Amount,% Equity (Deal),Deal Type
invisiPlug,"Los Angeles, California",Home & Tools,5,Deal,Lori Grenier,"$125,000",10.0%,"$125,000",10.0%,E
Winedoctor - Wine Stoppers,"Tucson, Arizona",Home & Tools,5,No Deal,—,"$250,000",10.0%,—,—,—
Sunday Night Slow Jams Radio Show,"San Diego, California",Entertainment & Arts,5,No Deal,—,"$75,000",10.0%,—,—,—
Ring Video Doorbell - Doorbot,"Los Angeles, California",Home & Tools,5,No Deal,—,"$700,000",10.0%,—,—,—
Squeeky Knees,,Kids & Toys,5,No Deal,—,"$80,000",20.0%,—,—,—
Bon Affair Wine Spritzer,"Solana Beach, California",Food & Drink,5,Deal,Mark Cuban,"$150,000",35.0%,"$150,000",35.0%,E
Drive Suits Motorized Costumes,"Indianapolis, Indiana",Entertainment & Arts,4,Deal,Kevin O'Leary,"$150,000",20.0%,"$150,000",30.0%,E
The Green Garmento - Laundry Bag,"Los Angeles,California",Clothing & Accessories,4,No Deal,—,"$300,000",20.0%,—,—,—
Baby Loves Disco,USA,Kids & Toys,4,No Deal,—,"$150,000",10.0%,—,—,—
Three Day Rule Dating Service,"Santa Monica, California",Service,4,No Deal,—,"$200,000",10.0%,—,—,—
FuzziBunz Washable Diapers,"Lafayette, United States",Kids & Toys,4,No Deal,—,"$500,000",15.0%,—,—,—
Ice Chips Candy,"Yelm, Washington",Food & Drink,4,Deal,"Barbara Corcoran, Mark Cuban","$250,000",15.0%,"$250,000",40.0%,E
Proof Eyewear,"Boise, Idaho",Clothing & Accessories,4,No Deal,—,"$150,000",10.0%,—,—,—
Gobie H2O Filtered Water Bottle,"San Diego, USA",Home & Tools,4,Deal,Daymond John,"$300,000",10.0%,"$300,000",40.0%,E
Freaker USA - Bottle Insulators,"Wilmington, North Carolina",Home & Tools,4,No Deal,—,"$200,000",10.0%,—,—,—
Dura-Tent Table Top Food Screen,"Poway, California",Home & Tools,4,No Deal,—,"$50,000",30.0%,—,—,—
KaZAM Bikes,"Fairfield, New Jersey",Kids & Toys,4,Deal,"Barbara Corcoran, Mark Cuban","$300,000",20.0%,"$300,000",32.0%,E
Coatchex Coat Checking Technology,,Tech & Electronics,4,No Deal,—,"$200,000",10.0%,—,—,—
Grinds Coffee Pouches,"Westfield, Indiana",Food & Drink,4,Deal,"Daymond John, Robert Herjavec","$75,000",10.0%,"$75,000",15.0%,E
Lose 12 Inches With Any 12 Workouts,"Loveland, Colorado",Beauty & Health,4,Deal,Daymond John,"$120,000",25.0%,"$120,000",25.0%,E
Ryan's Barkery Dog Treats,"Norwalk, Connecticut",Pet Care,4,Deal,Barbara Corcoran,"$25,000",25.0%,"$25,000",25.0%,E
PostureNOW Posture Corrector,"West Linn, Oregon",Beauty & Health,4,Deal,Mark Cuban,"$100,000",15.0%,"$100,000",30.0%,E
Nearly Newlywed - Online Bridal Boutique,"Brooklyn, New York",Clothing & Accessories,4,No Deal,—,"$35,000",10.0%,—,—,—
Shell Bobbers Fishing Bobbers,USA,Sports & Outdoors,4,Deal,Mark Cuban,"$80,000",20.0%,"$80,000",33.0%,E
PRO-NRG - Protein-infused Flavored Water,"Austin, Texas",Food & Drink,4,Deal,Daymond John,"$250,000",15.0%,"$250,000",30.0%,E
Hot Tot Children's Hair Care,"Denver, Colorado",Kids & Toys,4,Deal,Mark Cuban,"$50,000",15.0%,"$75,000",40.0%,E
Pink Shutter Photobooths,"Los Angeles, California",Service,4,Deal,Barbara Corcoran,"$300,000",10.0%,"$300,000",33.0%,E
Bev Buckle - Beverage Holding Belt Buckle,"Beresford, South Dakota",Clothing & Accessories,4,Deal,Barbara Corcoran,"$50,000",10.0%,"$50,000",51.0%,E
My Cold Snap Drink Cooler Cup,"Austin,Texas",Home & Tools,4,No Deal,—,"$50,000",100.0%,—,—,—
Cellhelmet Phone Cases,"Pittsburgh, Pennsylvania",Clothing & Accessories,4,No Deal,—,"$160,000",20.0%,—,—,—
Tom &amp; Chee Soup Shop,"Cincinnati, Ohio",Food & Drink,4,Deal,"Barbara Corcoran, Mark Cuban","$600,000",10.0%,"$600,000",30.0%,E
Back 9 Dips Buffalo Chicken Dips,"Tampa, Florida",Food & Drink,4,Deal,"Robert Herjavec, Lori Greiner","$150,000",15.0%,"$150,000",25.0%,E
Corks Away Wine Cruise Experience,"Long Beach, California",Entertainment & Arts,4,No Deal,—,"$105,000",20.0%,—,—,—
Wicked Good Cupcakes,"Hanover, Massachusetts",Food & Drink,4,Deal,Kevin O'Leary,"$75,000",20.0%,"$75,000",—,R
Eco Nuts Organic Laundry Soap,"Lawndale, California",Home & Tools,4,No Deal,—,"$175,000",15.0%,—,—,—
Coffee Joulies,"Brick, New Jersey",Home & Tools,4,Deal,"Kevin O'Leary, Lori Greiner, Robert Herjavec, Daymond John","$150,000",5.0%,"$150,000",—,R
Bodywalking Massage,"Scottsdale, Arizona",Beauty & Health,4,No Deal,—,"$100,000",10.0%,—,—,—
HoodiePillow - Pillow with a Hood,"Florence, New Jersey",Home & Tools,4,Deal,Robert Herjavec,"$90,000",15.0%,"$90,000",20.0%,E
CordaRoy's Bean Bag Bed,"Gainesville, Florida",Home & Tools,4,Deal,Lori Greiner,"$200,000",20.0%,"$200,000",58.0%,E
VerbalizeIt Translation App,New York,Apps,4,Deal,Kevin O'Leary,"$250,000",15.0%,"$250,000",20.0%,E
Lifter Hamper - Laundry Hamper,"Highland, California",Home & Tools,4,No Deal,—,"$85,000",12.0%,—,—,—
TieTry - Neck Tie Subscription,USA,Clothing & Accessories,4,No Deal,—,"$100,000",25.0%,—,—,—
nPower PEG – Human-powered Charger,USA,Tech & Electronics,4,No Deal,—,"$2,000,000",22.0%,—,—,—
Scrub Daddy Sponge,"Philadelphia, Pennsylvania",Home & Tools,4,Deal,Lori Greiner,"$100,000",10.0%,"$200,000",20.0%,E
Teddy Needs a Bath - Laundry Bag for Stuffed Animals,"San Clemente, California",Kids & Toys,4,Deal,Mark Cuban,"$50,000",10.0%,"$100,000",30.0%,E
BuggyBeds - Bed Bug Glue Trap,USA,Home & Tools,4,Deal,"Mark Cuban, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec","$125,000",7.0%,"$250,000",25.0%,E
Gotta Have S’More,"Los Angeles, California",Food & Drink,4,No Deal,—,"$75,000",25.0%,—,—,—
Drop Stop Car Seat Gap Filler,"Los Angeles, California",Automotive & Industrial,4,Deal,Lori Greiner,"$300,000",15.0%,"$300,000",20.0%,E
Bag Bowl,USA,Home & Tools,4,Deal,Lori Greiner,"$40,000",33.0%,"$40,000",34.0%,E
RuckPack Combat Nutrition,"San Diego, California",Food & Drink,4,Deal,"Kevin O'Leary, Robert Herjavec","$75,000",10.0%,"$150,000",20.0%,E
Mission Belt - Ratcheting Belt,West Hollywood,Clothing & Accessories,4,Deal,Daymond John,"$50,000",20.0%,"$50,000",37.5%,E
The Bear &amp; The Rat Dog Ice Cream,"Hygiene, Colorado",Pet Care,4,No Deal,—,"$125,000",20.0%,—,—,—
Sub Zero Ice Cream,"Provo, Utah",Food & Drink,4,No Deal,—,"$300,000",12.0%,—,—,—
SurfSET Fitness,"New York, United States",Beauty & Health,4,Deal,Mark Cuban,"$150,000",10.0%,"$300,000",30.0%,E
How Do You Roll? - Sushi Restaurant,"Austin, Texas",Food & Drink,4,Deal,Kevin O'Leary,"$1,000,000",12.0%,"$1,000,000",20.0%,E
Traditional Fisheries,USA,Food & Drink,4,No Deal,—,"$225,000",—,—,—,—
ZOMM Alarm Device,"San Jose, USA",Tech & Electronics,4,No Deal,—,"$2,000,000",10.0%,—,—,—
The Coop - Kid's Play Space,"Los Angeles, California",Kids & Toys,4,Deal,Barbara Corcoran,"$150,000",15.0%,"$150,000",15.0%,E
MistoBox Artisan Coffee,"San Francisco, California",Food & Drink,4,Deal,Mark Cuban,"$75,000",15.0%,"$75,000",30.0%,E
SBU (Self Balancing Unicycle),"Camas, Washington",Tech & Electronics,4,Deal,"Robert Herjavec, Kevin O'Leary","$300,000",10.0%,"$300,000",33.0%,E
Urbio Modern Wall Planters,"Sion, Valais",Home & Tools,4,Deal,Lori Greiner,"$300,000",12.0%,"$300,000",15.0%,E
Alpha M Consulting,"Utah, USA",Service,4,No Deal,—,"$50,000",10.0%,—,—,—
Pretty Padded Room,"New York, New York",Service,4,No Deal,—,"$100,000",30.0%,—,—,—
Simple Sugars Scrub,"Pittsburgh, Pennsylvania",Beauty & Health,4,No Deal,Mark Cuban,"$100,000",10.0%,"$100,000",33.0%,E
Cozy Bug Clothing,"Los Angeles, California",Kids & Toys,4,Deal,Daymond John,"$50,000",25.0%,"$50,000",30.0%,E
Fat Ass Fudge,"East Hampton, New York",Food & Drink,4,No Deal,—,"$250,000",5.0%,—,—,—
Squirrel Boss Bird Feeder,"Ohio, United States",Home & Tools,4,No Deal,—,"$130,000",40.0%,—,—,—
Shemie Slip,"Charlotte, North Carolina",Clothing & Accessories,4,No Deal,—,"$60,000",20.0%,—,—,—
Bibbitec Bib,USA,Kids & Toys,4,No Deal,—,"$40,000",14.0%,—,—,—
Nuts 'N More,"East Providence, Rhode Island",Food & Drink,4,Deal,"Robert Herjavec, Mark Cuban","$250,000",20.0%,"$250,000",35.0%,E
Jones Scones All Natural Cream Scones,"Denver, Colorado",Food & Drink,4,No Deal,—,"$100,000",25.0%,—,—,—
eCreamery Personalized Ice Cream,"Omaha, Nebraska",Food & Drink,4,No Deal,—,"$250,000",33.0%,—,—,—
SMARTwheel,New Hampshire,Tech & Electronics,4,Deal,"Robert Herjavec, Mark Cuban","$100,000",15.0%,"$100,000",30.0%,E
CoolWraps Gift Wrap,USA,Home & Tools,4,Deal,Mark Cuban,"$100,000",40.0%,"$250,000",100.0%,E
Wired Waffles,USA,Food & Drink,4,No Deal,—,"$75,000",25.0%,—,—,—
The Living Christmas - Tree Delivery And Pickup,"Redondo Beach, California",Service,4,Deal,Mark Cuban,"$150,000",30.0%,"$150,000",40.0%,E
The Vermont Butcher Block &amp; Board Company,"South Burlington, USA",Home & Tools,4,No Deal,—,"$400,000",25.0%,—,—,—
Cool Wazoo Surface Cover for Babies,"Sacramento, California",Kids & Toys,4,Deal,Lori Greiner,"$65,000",25.0%,"$65,000",25.0%,E
LugLess Luggage Shipping,"Boston, Massachusetts",Service,4,No Deal,—,"$100,000",10.0%,—,—,—
Cool Wazoo Surface Cover for Babies,"Sacramento, California",Kids & Toys,4,Deal,Lori Greiner,"$65,000",25.0%,"$65,000",25.0%,E
SoundBender Audio Amplifier,"St. Paul, Minnesota",Tech & Electronics,4,Deal,Daymond John,"$54,000",26.0%,"$54,000",40.0%,E
LiddUp Cooler,"Las Vegas, Nevada",Home & Tools,4,Deal,Kevin O'Leary,"$100,000",10.0%,"$100,000",33.0%,E
CATEapp - Call and Text Eraser App,USA,Apps,4,Deal,"Kevin O'Leary, Daymond John","$50,000",5.0%,"$70,000",35.0%,E
Addison’s Wonderland,"Georgia, USA",Home & Tools,4,No Deal,—,"$90,000",20.0%,—,—,—
Mee-Ma's Gumbo,"Compton, California",Food & Drink,4,Deal,"Kevin O'Leary, Lori Greiner","$200,000",20.0%,"$200,000",50.0%,E
The Spatty Tiny Spatulas,"Easley, South Carolina",Home & Tools,4,No Deal,—,"$50,000",40.0%,—,—,—
Partie Poche - Phone Holder,"Chicago, Illinois",Clothing & Accessories,4,No Deal,—,"$100,000",20.0%,—,—,—
Neo Innovations Tattoo Removal,"Westminster, Colorado",Tech & Electronics,4,No Deal,—,"$80,000",20.0%,—,—,—
Geek Chic Gaming Furniture,"Lynnwood, Washington",Home & Tools,4,Deal,Robert Herjavec,"$100,000",5.0%,"$300,000",25.0%,E
No Fly Cone Fly Trap,"Sylmar, California",Home & Tools,4,No Deal,—,"$25,000",15.0%,—,—,—
Cuddletunes MP3 Playing Teddy Bear,"Seattle, Washington",Kids & Toys,4,No Deal,—,"$400,000",20.0%,—,—,E
Echo Valley Meats,"Bartonville, Illinois",Food & Drink,4,No Deal,—,"$300,000",20.0%,—,—,E
Liz Lovely Cookies,"Waitsfield, Vermont",Food & Drink,4,No Deal,—,"$200,000",10.0%,—,—,—
PC Classes Online,"Cape Cod, Massachusetts",Service,4,No Deal,—,"$150,000",15.0%,—,—,—
The Muddy Water Camo,"Ridgeland, Missisippi",Clothing & Accessories,4,No Deal,—,"$150,000",5.0%,—,—,—
Baby's Badass Burgers,"Los Angeles, California",Food & Drink,4,No Deal,—,"$250,000",30.0%,—,—,—
Marz Sprays - Vitamin Sprays,"Van Nuys, California",Beauty & Health,4,Deal,Lori Greiner,"$200,000",10.0%,"$200,000",25.0%,E
The Game Face Company Face Paint,"Carrolton, Texas",Entertainment & Arts,4,Deal,"Mark Cuban, Lori Greiner","$450,000",25.0%,"$450,000",35.0%,E
JesKa Shoe Company,"Emerson, Arkansas",Clothing & Accessories,4,Deal,Daymond John,"$70,000",30.0%,"$70,000",70.0%,E
Stella Valle Jewelry,"Seaside Park, New Jersey",Clothing & Accessories,4,Deal,"Mark Cuban, Lori Greiner","$150,000",25.0%,"$150,000",35.0%,E
PlateTopper - Airtight Food Storage,"Venice, Florida",Home & Tools,4,Deal,Lori Greiner,"$90,000",5.0%,"$90,000",8.0%,E
Xero Shoes,"Broomfield, Colorado",Clothing & Accessories,4,No Deal,—,"$400,000",8.0%,—,—,—
RootSuit Full-body Costume,USA,Clothing & Accessories,4,No Deal,—,"$100,000",15.0%,—,—,—
RockBands Wristbands,USA,Clothing & Accessories,4,Deal,"Daymond John, Mark Cuban","$100,000",20.0%,"$100,000",40.0%,E
Revestor Real Estate Search Engine,"San Francisco, California",Service,4,No Deal,—,"$250,000",10.0%,—,—,—
Hip Chixs Jeans,"Portland, Orlando",Clothing & Accessories,4,No Deal,—,"$150,000",35.0%,—,—,—
Track Days Racing Movie,USA,Entertainment & Arts,4,No Deal,—,"$5,000,000",34.0%,—,—,—
Cousins Maine Lobster Food Truck,"Los Angeles, California",Food & Drink,4,Deal,Barbara Corcoran,"$55,000",5.0%,"$55,000",15.0%,E
Track Days Racing Movie,USA,Entertainment & Arts,4,No Deal,—,"$5,000,000",34.0%,—,—,—
The Swilt Convertible Sweatshirt,USA,Clothing & Accessories,3,No Deal,—,"$30,000",35.0%,—,—,—
The AVE Venice,"Venice Beach, California",Clothing & Accessories,3,No Deal,—,"$125,000",15.0%,—,—,—
ReadeREST - Magnetic Clip for Glasses,"Argyle, Texas",Clothing & Accessories,3,Deal,Lori Greiner,"$150,000",15.0%,"$150,000",65.0%,E
Lollacup Sippy Cups,"Monrovia, California",Kids & Toys,3,Deal,"Mark Cuban, Robert Herjavec","$100,000",15.0%,"$100,000",40.0%,E
BusinessGhost Ghost-writing Services,"Brookline, Massachusetts",Service,3,No Deal,—,"$200,000",10.0%,—,—,—
The Heat Helper Dryer Heater,"Derby, Kansas",Home & Tools,3,No Deal,—,"$100,000",50.0%,—,—,—
Nitroforce Titan 1000,"Medina, Ohio",Sports & Outdoors,3,No Deal,—,"$250,000",10.0%,—,—,—
Show No Towel,USA,Clothing & Accessories,3,Deal,Lori Greiner,"$50,000",25.0%,"$75,000",25.0%,E
BarkEm's To Go Dog Meals,USA,Pet Care,3,No Deal,—,"$100,000",51.0%,—,—,—
AirBedz Truck Mattress,"Yorba Linda, California",Automotive & Industrial,3,No Deal,—,"$250,000",15.0%,—,—,—
EZ VIP,"Miami, Florida",Service,3,Deal,"Mark Cuban, Daymond John","$150,000",15.0%,"$150,000",30.0%,E
TEC-Technology Enabled Clothing,"Ketchum, Idaho",Clothing & Accessories,3,No Deal,—,"$500,000",15.0%,—,—,—
UniKey Technologies,United States,Home & Tools,3,Deal,"Kevin O'Leary, Mark Cuban","$500,000",33.0%,"$500,000",40.0%,E
Puppy Cake,"Portersville, Pennsylvania",Pet Care,3,No Deal,—,"$50,000",25.0%,—,—,—
Brewer's Cow Ice Cream,USA,Food & Drink,3,No Deal,—,"$125,000",15.0%,—,—,—
SkyRide Technology,,Entertainment & Arts,3,No Deal,—,"$3,000,000",20.0%,—,—,—
I Want to Draw a Cat For You,Greater Chicago Area,Entertainment & Arts,3,Deal,Mark Cuban,"$10,000",25.0%,"$25,000",33.0%,E
The Original Profender,"Bristol, Pennsylvania",Sports & Outdoors,3,No Deal,—,"$75,000",15.0%,—,—,—
Wine Balloon,"Mason, Ohio",Home & Tools,3,Deal,"Mark Cuban, Lori Greiner","$40,000",30.0%,"$400,000",100.0%,—
GoGo Gear Motorcycle Riding Apparel,"Los Angeles, California",Clothing & Accessories,3,Deal,Daymond John,"$300,000",15.0%,"$300,000",65.0%,E
Boot Illusion,United States,Clothing & Accessories,3,Deal,Barbara Corcoran,"$100,000",30.0%,"$100,000",55.0%,E
Salespreneur Sales Training,"North Haven, Connecticut",Service,3,No Deal,—,"$90,000",40.0%,—,—,—
Nardo's Natural Organic Skincare,"St. Petersburg, Florida",Beauty & Health,3,Deal,Barbara Corcoran,"$75,000",12.0%,"$75,000",50.0%,E
The Last Lid Garbage Can Cover,"Waldwick, New Jersey",Home & Tools,3,Deal,Daymond John,"$40,000",20.0%,"$40,000",60.0%,—
Blondie's Cookies,"Kokomo, Indiana",Food & Drink,3,No Deal,—,"$200,000",3.0%,—,—,—
Villy Custom Bicycles,"Dallas, Texas",Sports & Outdoors,3,Deal,"Mark Cuban, Barbara Corcoran","$500,000",33.0%,"$500,000",42.0%,E
Rick Smith Jr. Vegas Magic Show,,Entertainment & Arts,3,No Deal,—,"$1,500,000",20.0%,—,—,—
Rent A Grandma,"Los Angeles, California",Service,3,No Deal,—,"$150,000",20.0%,—,—,—
Ledge Pillow,USA,Home & Tools,3,No Deal,—,"$30,000",25.0%,—,—,—
ViewSPORT Sweat Activated Fitness Apparel,"Rochester, New York",Clothing & Accessories,3,No Deal,—,"$500,000",20.0%,—,—,—
Wild Squirrel Nut Butter,"Eugene, Oregon",Food & Drink,3,Deal,Barbara Corcoran,"$50,000",10.0%,"$50,000",40.0%,E
Invis-A-Rack Cargo Management System,USA,Automotive & Industrial,3,No Deal,—,"$100,000",10.0%,—,—,—
Litter Jewelry,"San Francisco, California",Clothing & Accessories,3,Deal,"Mark Cuban, Daymond John","$80,000",51.0%,"$80,000",70.0%,E
Talbott Teas,"Chicago, Illinois",Food & Drink,3,Deal,Kevin O'Leary,"$250,000",20.0%,"$250,000",35.0%,E
The Sullivan Generator,USA,Automotive & Industrial,3,No Deal,—,"$1,000,000",10.0%,—,—,—
Cab20 Rock Band,United States,Entertainment & Arts,3,No Deal,—,"$200,000",20.0%,—,—,—
Chord Buddy - Guitar Learning System,"Dothan, Alabama",Entertainment & Arts,3,Deal,Robert Herjavec,"$125,000",10.0%,"$175,000",20.0%,E
Tower Paddle Boards,"San Diego, California",Sports & Outdoors,3,Deal,Mark Cuban,"$150,000",10.0%,"$150,000",30.0%,E
M3 Girl Designs Bottle Cap Jewelry,"Dallas, Texas",Clothing & Accessories,3,Deal,"Robert Herjavec, Mark Cuban, Lori Greiner","$300,000",15.0%,"$300,000",30.0%,E
Copa Di Vino,"The Dalles, Oregon",Food & Drink,3,No Deal,—,"$300,000",5.0%,—,—,—
Mix Bikini,"Brandon, Florida",Clothing & Accessories,3,Deal,Barbara Corcoran,"$50,000",5.0%,"$50,000",25.0%,E
Liquid Money - Money Scented Perfume and Cologne,"Saint Charles, Illinois",Beauty & Health,3,No Deal,—,"$100,000",5.0%,—,—,—
Instant Lifts Body Shaping Tape,"Tampa, Florida",Clothing & Accessories,3,No Deal,—,"$100,000",25.0%,—,—,—
Five-Minute Furniture,USA,Home & Tools,3,No Deal,—,"$250,000",25.0%,—,—,—
Nail Pak Nail Polish Kit,"West Hartford, Connecticut",Beauty & Health,3,No Deal,—,"$50,000",40.0%,—,—,—
Billy Blanks Jr.'s Dance With Me,"Los Angeles, California",Beauty & Health,3,Deal,"Daymond John, Mark Cuban","$100,000",20.0%,"$100,000",50.0%,E
Tail Lightz,,Clothing & Accessories,3,No Deal,—,"$50,000",50.0%,—,—,—
Vinamor Wine Aerator,USA,Home & Tools,3,No Deal,—,"$75,000",30.0%,—,—,—
The Painted Pretzel,"Nobby Beach, Queensland",Food & Drink,3,Deal,Mark Cuban,"$100,000",25.0%,"$100,000",25.0%,E
Debbie Brooks Handbags,"Gardiner, New York",Clothing & Accessories,3,No Deal,—,"$540,000",20.0%,—,—,—
Clean Bottle,"Boston, Massachusetts",Home & Tools,3,Deal,Mark Cuban,"$60,000",5.0%,"$60,000",8.0%,E
Kisstixx Lip Balm,"Salt Lake City, Utah",Beauty & Health,3,Deal,Mark Cuban,"$200,000",20.0%,"$200,000",40.0%,E
Cougar Energy Drink,"Trophy Club, Texas",Food & Drink,3,No Deal,—,"$150,000",30.0%,—,—,—
You Smell Soap,USA,Beauty & Health,3,Deal,Robert Herjavec,"$55,000",20.0%,"$55,000",20.0%,E
Miso Media Guitar Lessons App,USA,Apps,3,Deal,Mark Cuban,"$300,000",5.0%,"$300,000",8.0%,E
Esso Watches,USA,Clothing & Accessories,3,No Deal,—,"$35,000",20.0%,—,—,—
Trimi Tank,"Pittsburgh, Pennsylvania",Clothing & Accessories,3,No Deal,—,"$57,000",30.0%,—,—,—
My Wonderful Life,USA,Service,3,No Deal,—,"$100,000",10.0%,—,—,—
The Smart Baker,"Hanover, Massachusetts",Home & Tools,3,Deal,Barbara Corcoran,"$75,000",25.0%,"$75,000",40.0%,E
Remyxx Recyclable Sneakers,North Carolina,Clothing & Accessories,3,Deal,Daymond John,"$50,000",10.0%,"$50,000",80.0%,E
Pure Ayre,"Northwest, USA",Home & Tools,2,No Deal,—,"$150,000",10.0%,—,—,—
Ride-On Carry-On,"Atlanta, Georgia",Home & Tools,2,Deal,Barbara Corcoran,"$50,000",25.0%,"$50,000",25.0%,E
Hot Mama Gowns,,Clothing & Accessories; Kids & Toys,2,No Deal,—,"$30,000",20.0%,—,—,—
Uncle Zip's Beef Jerky,"Fayetteville, North Carolina",Food & Drink,2,No Deal,—,"$25,000",20.0%,—,—,—
Caddy Swag,,Sports & Outdoors,2,No Deal,—,"$60,000",20.0%,—,—,—
Origaudio - Turn Anything Into a Speaker,"California, USA",Tech & Electronics,2,Deal,Robert Herjavec,"$150,000",15.0%,"$150,000",15.0%,E
Hillbilly Brand,"Parkland, Florida",Clothing & Accessories,2,Deal,"Robert Herjavec, Jeff Foxworthy, Daymond John","$50,000",25.0%,"$75,000",—,E
Daisy Cakes - Mail Order Cake,"Spartanburg, South Carolina",Food & Drink,2,Deal,Barbara Corcoran,"$50,000",25.0%,"$50,000",25.0%,E
Man Candles,,Home & Tools,2,No Deal,—,"$50,000",25.0%,—,—,—
Toygaroo - Rental Service For Toys,"Los Angeles, California",Entertainment & Arts; Kids & Toys,2,Deal,"Mark Cuban, Kevin O'Leary","$100,000",10.0%,"$200,000",40.0%,E
Broccoli Wad,,Clothing & Accessories,2,Deal,Barbara Corcoran,"$50,000",20.0%,"$50,000",40.0%,E
Sweep Easy - Broom and Scraper,,Home & Tools,2,Deal,"Daymond John, Kevin Harrington","$40,000",25.0%,"$80,000",25.0%,E
Original Runner Company,"New York City, New York",Service,2,No Deal,—,"$250,000",15.0%,—,—,—
Wake n' Bacon - Bacon Cooking Alarm Clock,"New York, New York",Home & Tools,2,No Deal,—,"$40,000",20.0%,—,—,—
Fridge Fronts,"Yellow Springs, Ohio",Home & Tools,2,Deal,"Barbara Corcoran, Kevin Harrington","$100,000",30.0%,"$100,000",50.0%,E
Carsik Bib,,Kids & Toys,2,No Deal,—,"$30,000",15.0%,—,—,—
Hy-Conn Water Hose Connector,"Cabot, Arkansas",Automotive & Industrial,2,Deal,Mark Cuban,"$500,000",40.0%,—,100.0%,E
Vurtego Pogo Sticks,California,Sports & Outdoors,2,No Deal,—,"$500,000",20.0%,—,—,—
New Era Brands,,Clothing & Accessories,2,No Deal,—,"$500,000",30.0%,—,—,—
Hydromax Wearable Water Bottle,"Houston, Texas",Sports & Outdoors,2,Deal,Jeff Foxworthy,"$50,000",25.0%,"$50,000",50.0%,E
CitiKitty,"Yardley, Pennsylvania",Pet Care,2,Deal,Kevin Harrington,"$100,000",15.0%,"$100,000",20.0%,E
First Defense Nasal Screen,,Beauty & Health,2,Deal,"Mark Cuban, Kevin O'Leary, Daymond John","$500,000",10.0%,"$750,000",30.0%,E
Thin Gloss,"Fishers, Indiana",Beauty & Health,2,No Deal,—,"$80,000",20.0%,—,—,—
Ecomower,,Home & Tools,2,No Deal,—,"$90,000",20.0%,—,—,—
Samson Martin,,Clothing & Accessories,2,No Deal,—,"$50,000",15.0%,—,—,—
Mod Mom Furniture,"Los Angeles, California",Home & Tools,2,Deal,Robert Herjavec,"$90,000",25.0%,"$90,000",33.0%,E
Power Decal - Light Up Stickers,,Automotive & Industrial,2,Deal,"Daymond John, Robert Herjavec","$100,000",5.0%,"$100,000",70.0%,E
Games2U,"Austin, Texas",Entertainment & Arts,2,No Deal,—,"$500,000",10.0%,—,—,—
Aldo Orta Jewelry,"Chicago, Illinois",Clothing & Accessories,2,Deal,"Barbara Corcoran, Kevin Harrington","$180,000",45.0%,"$180,000",50.0%,E
Fitness Stride,,Beauty & Health,2,No Deal,—,"$140,000",15.0%,—,—,—
Onesole - The Original Interchangeable Shoes,"Palm Beach, Florida",Clothing & Accessories,2,Deal,Daymond John,"$500,000",20.0%,"$500,000",35.0%,E
Flipoutz - Customizable and Trackable Bracelets,,Kids & Toys,2,Deal,"Kevin O'Leary, Daymond John, Robert Herjavec","$100,000",20.0%,"$100,000",33.0%,E
Mr. Tod's Pie Factory,"Somerset, New Jersey",Food & Drink,1,Deal,"Barbara Corcoran, Daymond John","$460,000",10.0%,"$460,000",50.0%,E
Boogie Box Fitness,"Ladera Ranch, California",Sports & Outdoors,1,No Deal,—,"$700,000",70.0%,—,—,—
Recycled Chopstick Art,"Eugene, Oregon",,1,No Deal,—,"$100,000",10.0%,—,—,—
Mr. Poncho,"New York City, New York",Clothing & Accessories,1,No Deal,—,"$50,000",25.0%,—,—,—
Granola Gourmet,"Stevenson Ranch, California",Food & Drink,1,No Deal,—,"$175,000",25.0%,—,—,—
Grease Monkey Wipes,,Home & Tools,1,Deal,"Robert Herjavec, Barbara Corcoran","$40,000",40.0%,"$40,000",40.0%,E
Ionic Ear Bluetooth Implant,,Tech & Electronics,1,No Deal,—,"$1,000,000",15.0%,—,—,—
Soy-Yer-Dough,"Bloomfield, Indiana",Kids & Toys,1,Deal,"Kevin O'Leary, Daymond John, Robert Herjavec","$125,000",25.0%,"$300,000",51.0%,E
Stress Free Kids,"Marietta, Georgia",Kids & Toys,1,Deal,Barbara Corcoran,"$250,000",20.0%,"$250,000",50.0%,E
The Uro Club,South Florida,Sports & Outdoors,1,Deal,Kevin Harrington,"$25,000",51.0%,"$25,000",70.0%,E
Good Grief Celebrations,,Service,1,No Deal,—,"$50,000",25.0%,—,—,—
Lipstix Remix,"Knoxville, Tennessee",Beauty & Health,1,Deal,"Barbara Corcoran, Daymond John, Kevin Harrington","$105,000",30.0%,"$105,000",50.0%,E
Wispots Waiting Room Advertising,"Cary, North Carolina",Service,1,No Deal,—,"$1,200,000",10.0%,—,—,—
NoteHall Classroom Notes,University of Arizona,Service,1,Deal,Barbara Corcoran,"$90,000",10.0%,"$90,000",25.0%,E
50 State Capitals Flashcards,,Kids & Toys,1,No Deal,—,"$155,000",10.0%,—,—,—
Jump Forward,,Service,1,Deal,"Robert Herjavec, Kevin O'Leary","$150,000",10.0%,"$600,000",50.0%,E
My Therapy Journal,"San Francisco, California and Palm Beach, Florida",Service,1,Deal,"Robert Herjavec, Kevin O'Leary","$80,000",20.0%,"$80,000",51.0%,E
